filename,content,type
speaker00028_M_s3_stn00090.lab,必须加强企业中国有资产的管理,Sentence
speaker00028_M_s2_stn00087.lab,俺的摇滚音带将于近日同大家见面,Sentence
speaker00028_M_s1_stn00009.lab,v（淤）,Monophthong
speaker00028_M_s2_stn00057.lab,稳定和协调是相对的,Sentence
speaker00028_M_s2_stn00064.lab,以领导和协调防治工作,Sentence
speaker00028_M_s1_stn00136.lab,仍继续维持一九五三年形成的停战协定体制,Sentence
speaker00028_M_s3_stn00019.lab,在市场占有率排在前十位的电视机中,Sentence
speaker00028_M_s3_stn00142.lab,而西方给俄罗斯援助,Sentence
speaker00028_M_s3_stn00067.lab,那是疾恶如仇,Sentence
speaker00028_M_s1_stn00001.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00002.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00117.lab,建立一种有中国特色的分税制,Sentence
speaker00028_M_s1_stn00032.lab,亏（kui）,Monosyllables
speaker00028_M_s1_stn00118.lab,虽然有一位党委或政府的负责人任小组的组长,Sentence
speaker00028_M_s3_stn00129.lab,却怎么也说服不了瓷用花纸厂厂长,Sentence
speaker00028_M_s2_stn00103.lab,人们的脸上抹去了往日的愁容,Sentence
speaker00028_M_s2_stn00023.lab,格里略博士说,Sentence
speaker00028_M_s3_stn00125.lab,使日本人也不能不怀疑终身雇佣制的未来,Sentence
speaker00028_M_s1_stn00015.lab,v（淤）,Monophthong
speaker00028_M_s1_stn00085.lab,韩春增告诉总书记,Sentence
speaker00028_M_s3_stn00152.lab,贪污成风的社会,Sentence
speaker00028_M_s3_stn00089.lab,苗木近一点八万株,Sentence
speaker00028_M_s3_stn00141.lab,这样一个挚爱人民挚爱祖国的坚强集体,Sentence
speaker00028_M_s2_stn00108.lab,据一至十月统计,Sentence
speaker00028_M_s2_stn00044.lab,为个人谋位置,Sentence
speaker00028_M_s2_stn00090.lab,并要善于用这个观点和方法来处理问题,Sentence
speaker00028_M_s3_stn00086.lab,而同样在该市,Sentence
speaker00028_M_s3_stn00009.lab,二百零八地质队刚到乌日图高勒嘎查时,Sentence
speaker00028_M_s1_stn00020.lab,u（乌）,Monophthong
speaker00028_M_s1_stn00014.lab,u（乌）,Monophthong
speaker00028_M_s1_stn00008.lab,u（乌）,Monophthong
speaker00028_M_s3_stn00066.lab,三月上旬的一天上午,Sentence
speaker00028_M_s3_stn00051.lab,每月定期举行一次,Sentence
speaker00028_M_s2_stn00083.lab,但他八十二岁的教练埃富奇说,Sentence
speaker00028_M_s2_stn00037.lab,这样一批年轻的知识型的领队,Sentence
speaker00028_M_s1_stn00123.lab,合作的重点是发电设备,Sentence
speaker00028_M_s3_stn00006.lab,必须有科学的支持,Sentence
speaker00028_M_s3_stn00081.lab,陈希同的问题和王宝森案件,Sentence
speaker00028_M_s2_stn00110.lab,用其他植物油代替可可油,Sentence
speaker00028_M_s3_stn00061.lab,俄第一年经济改革的结果不能令人感到欣慰,Sentence
speaker00028_M_s3_stn00035.lab,创造良好的中试条件,Sentence
speaker00028_M_s2_stn00034.lab,那位建筑工人逢人便说,Sentence
speaker00028_M_s3_stn00103.lab,要准备使用机器生产,Sentence
speaker00028_M_s1_stn00063.lab,困（kun）,Monosyllables
speaker00028_M_s1_stn00025.lab,空（kong）,Monosyllables
speaker00028_M_s1_stn00086.lab,企业法制工作既是政府的责任,Sentence
speaker00028_M_s1_stn00039.lab,吭（keng）,Monosyllables
speaker00028_M_s2_stn00109.lab,沿此公路北可达京津,Sentence
speaker00028_M_s2_stn00149.lab,有不少地方和企业认为公司化改革的基本内容,Sentence
speaker00028_M_s1_stn00074.lab,这两篇文献都是过去被忽略了的,Sentence
speaker00028_M_s2_stn00046.lab,四川省雅安市,Sentence
speaker00028_M_s3_stn00116.lab,处于不利形势,Sentence
speaker00028_M_s2_stn00111.lab,墙垣残高四米左右,Sentence
speaker00028_M_s3_stn00042.lab,也是出嫁的女儿回娘家的日子,Sentence
speaker00028_M_s2_stn00093.lab,一九九一年全乡养大鹅七万只,Sentence
speaker00028_M_s2_stn00041.lab,社会主义也有市场,Sentence
speaker00028_M_s1_stn00132.lab,纷纷表示要向见义勇为的英雄学习,Sentence
speaker00028_M_s3_stn00122.lab,由于未设帐簿或帐目不全,Sentence
speaker00028_M_s3_stn00030.lab,国家应该增加资金投入,Sentence
speaker00028_M_s2_stn00129.lab,自一九八九年至今,Sentence
speaker00028_M_s1_stn00087.lab,他的头上滚着汗珠,Sentence
speaker00028_M_s2_stn00053.lab,销售进度快于往年,Sentence
speaker00028_M_s3_stn00079.lab,提出检察建议,Sentence
speaker00028_M_s1_stn00109.lab,位于青海湟中县鲁尔镇,Sentence
speaker00028_M_s3_stn00073.lab,国家科研机构成了人才的摇篮,Sentence
speaker00028_M_s3_stn00056.lab,中日各剩二名,Sentence
speaker00028_M_s2_stn00119.lab,一个民族就会失去活力,Sentence
speaker00028_M_s3_stn00049.lab,灾区当地电厂急需用煤,Sentence
speaker00028_M_s1_stn00093.lab,追求自我的过程中,Sentence
speaker00028_M_s2_stn00086.lab,发展中国家为实施宣言和战略作出了巨大努力,Sentence
speaker00028_M_s1_stn00138.lab,在场数百人沸腾了,Sentence
speaker00028_M_s2_stn00127.lab,省农委主任冯灼锋认为,Sentence
speaker00028_M_s1_stn00042.lab,库（ku）,Monosyllables
speaker00028_M_s3_stn00104.lab,一般人员的出差费报不了,Sentence
speaker00028_M_s3_stn00127.lab,而在优秀作曲奖中又独占鳌头,Sentence
speaker00028_M_s1_stn00064.lab,括（kuo）,Monosyllables
speaker00028_M_s3_stn00058.lab,充满了阴谋暗算,Sentence
speaker00028_M_s2_stn00048.lab,厂里派人四天四夜赶到,Sentence
speaker00028_M_s3_stn00024.lab,每一个共产党员,Sentence
speaker00028_M_s2_stn00058.lab,赫德于六日抵达阿根廷,Sentence
speaker00028_M_s2_stn00031.lab,也很不容易通过,Sentence
speaker00028_M_s2_stn00092.lab,我们已经忘了孩子应该是快乐的,Sentence
speaker00028_M_s2_stn00022.lab,又是珍贵的用材树种,Sentence
speaker00028_M_s2_stn00133.lab,有利于社会稳定,Sentence
speaker00028_M_s2_stn00123.lab,马约还扩大了欧洲议会的权限,Sentence
speaker00028_M_s3_stn00101.lab,在车次混乱的情况下,Sentence
speaker00028_M_s3_stn00093.lab,蒙朱被炸出车外一米,Sentence
speaker00028_M_s2_stn00078.lab,选择典型案件,Sentence
speaker00028_M_s2_stn00076.lab,来公司的人个个都可成为顶梁柱,Sentence
speaker00028_M_s2_stn00095.lab,我气不打一处来,Sentence
speaker00028_M_s3_stn00099.lab,在上半年三十六亿美元逆差的基础上,Sentence
speaker00028_M_s3_stn00117.lab,发表了二百三十次演说,Sentence
speaker00028_M_s1_stn00031.lab,框（kuang）,Monosyllables
speaker00028_M_s1_stn00070.lab,早在一九七九年十一月,Sentence
speaker00028_M_s2_stn00050.lab,我高度赞赏阿中双边关系,Sentence
speaker00028_M_s3_stn00147.lab,明眼人都清楚,Sentence
speaker00028_M_s2_stn00047.lab,苦于无法解决人往哪里去,Sentence
speaker00028_M_s1_stn00062.lab,亏（kui）,Monosyllables
speaker00028_M_s3_stn00028.lab,损人而不利己,Sentence
speaker00028_M_s2_stn00079.lab,当这辆车运行了两个往返,Sentence
speaker00028_M_s3_stn00062.lab,作为序言刊在卷首,Sentence
speaker00028_M_s1_stn00137.lab,有自身的原因,Sentence
speaker00028_M_s1_stn00047.lab,亏（kui）,Monosyllables
speaker00028_M_s2_stn00135.lab,但绝不是盲目而来,Sentence
speaker00028_M_s1_stn00105.lab,但仍有不少地方忽略了公证的作用,Sentence
speaker00028_M_s3_stn00015.lab,国家用产业政策予以引导,Sentence
speaker00028_M_s2_stn00140.lab,蔡家崖的日子好起来了一九四八年春,Sentence
speaker00028_M_s3_stn00102.lab,但他们的脸谱却是艺术品,Sentence
speaker00028_M_s2_stn00004.lab,这套中国当代儿童文学精品,Sentence
speaker00028_M_s3_stn00124.lab,小伙伴们要瞪大眼寻找,Sentence
speaker00028_M_s2_stn00051.lab,从而也可以带动各方面的合作与发展,Sentence
speaker00028_M_s1_stn00110.lab,据巴方代表团发言人哈桑阿斯福尔介绍,Sentence
speaker00028_M_s3_stn00063.lab,菲律宾选手获银牌,Sentence
speaker00028_M_s3_stn00047.lab,中银发钞只是参与,Sentence
speaker00028_M_s3_stn00074.lab,群众检举线索一百五十多万件,Sentence
speaker00028_M_s2_stn00104.lab,任何干扰会谈的言论都会遭到港人的反对,Sentence
speaker00028_M_s1_stn00089.lab,这可看作是江主席对发展中巴关系所寄的厚望,Sentence
speaker00028_M_s1_stn00100.lab,我们痛痛快快启开瓶盖,Sentence
speaker00028_M_s3_stn00136.lab,在阴暗潮湿里,Sentence
speaker00028_M_s3_stn00146.lab,如信托存贷款债权信托投资基金信托等,Sentence
speaker00028_M_s3_stn00041.lab,这种观点的产生,Sentence
speaker00028_M_s2_stn00065.lab,严厉谴责这一暴行,Sentence
speaker00028_M_s3_stn00115.lab,定会脱颖而出,Sentence
speaker00028_M_s2_stn00035.lab,选派技术人员到国外培训,Sentence
speaker00028_M_s3_stn00098.lab,真正体现按劳分配原则,Sentence
speaker00028_M_s3_stn00060.lab,对改变农村落后面貌有强烈的责任感,Sentence
speaker00028_M_s3_stn00065.lab,技术服务网络不健全,Sentence
speaker00028_M_s3_stn00140.lab,十二月在日本有一个别称叫师走,Sentence
speaker00028_M_s3_stn00091.lab,聂凤智同志给我的另一个深刻印象,Sentence
speaker00028_M_s2_stn00114.lab,办起了日用陶瓷厂,Sentence
speaker00028_M_s1_stn00080.lab,并由一个企业家代表团随行,Sentence
speaker00028_M_s3_stn00084.lab,并预测下世纪初,Sentence
speaker00028_M_s2_stn00080.lab,必须从抓领导机关和领导干部入手,Sentence
speaker00028_M_s1_stn00026.lab,口（kou）,Monosyllables
speaker00028_M_s2_stn00017.lab,庆祝欧洲这一历史性的时刻,Sentence
speaker00028_M_s2_stn00116.lab,度过了一个十分愉快的下午,Sentence
speaker00028_M_s1_stn00088.lab,改革开放政策的决定作用愈加充分显示出来,Sentence
speaker00028_M_s2_stn00056.lab,外方就来了一个人,Sentence
speaker00028_M_s2_stn00042.lab,没有超人的胆识,Sentence
speaker00028_M_s1_stn00126.lab,由于不愿将有限的资金投入昂贵的农用物资,Sentence
speaker00028_M_s2_stn00020.lab,社会主义制度的优越性能否体现出来,Sentence
speaker00028_M_s3_stn00128.lab,他便数落起我孩子的毛病不遵守纪律,Sentence
speaker00028_M_s1_stn00005.lab,o（哦）,Monophthong
speaker00028_M_s2_stn00105.lab,二要消灭贫穷,Sentence
speaker00028_M_s3_stn00092.lab,这恐怕同当地的气候有关,Sentence
speaker00028_M_s3_stn00106.lab,唯几线明泉顺山势时隐时现,Sentence
speaker00028_M_s1_stn00037.lab,尅（kei）,Monosyllables
speaker00028_M_s1_stn00066.lab,来（lai）,Monosyllables
speaker00028_M_s3_stn00134.lab,附近的牲畜也无声而死,Sentence
speaker00028_M_s1_stn00024.lab,吭（keng）,Monosyllables
speaker00028_M_s3_stn00039.lab,能实施远程奔袭,Sentence
speaker00028_M_s3_stn00011.lab,工程发包过程中的行贿受贿犯罪就相当多,Sentence
speaker00028_M_s1_stn00054.lab,吭（keng）,Monosyllables
speaker00028_M_s3_stn00014.lab,爱民活动常抓不懈,Sentence
speaker00028_M_s1_stn00068.lab,但哈副总理扎巴金则认为,Sentence
speaker00028_M_s2_stn00154.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00107.lab,当司仪宣布大赛开始,Sentence
speaker00028_M_s1_stn00090.lab,此诺言一直没有兑现,Sentence
speaker00028_M_s3_stn00095.lab,充分发挥欧洲统一市场优势的经济政策,Sentence
speaker00028_M_s3_stn00144.lab,据某国有关部门披露,Sentence
speaker00028_M_s3_stn00156.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00021.lab,并从人道主义考虑,Sentence
speaker00028_M_s1_stn00007.lab,i（衣）,Monophthong
speaker00028_M_s3_stn00037.lab,而发展中国家则相反,Sentence
speaker00028_M_s2_stn00147.lab,我们在查办一起贪污案时,Sentence
speaker00028_M_s3_stn00137.lab,总人口不到三万的才溪乡,Sentence
speaker00028_M_s3_stn00071.lab,位于富饶的江汉平原,Sentence
speaker00028_M_s1_stn00114.lab,已出土的这只盾牌的残块,Sentence
speaker00028_M_s3_stn00149.lab,骆驼载着游客在缓缓行进,Sentence
speaker00028_M_s3_stn00155.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00139.lab,因而左顾右盼,Sentence
speaker00028_M_s2_stn00062.lab,许多经营形式,Sentence
speaker00028_M_s1_stn00030.lab,款（kuan）,Monosyllables
speaker00028_M_s2_stn00126.lab,一位胖胖的男孩说话了,Sentence
speaker00028_M_s3_stn00007.lab,六连从千里之外请来了打井队,Sentence
speaker00028_M_s3_stn00069.lab,提高医疗质量,Sentence
speaker00028_M_s2_stn00012.lab,广西地处亚热带,Sentence
speaker00028_M_s2_stn00061.lab,至于球赛是否精彩,Sentence
speaker00028_M_s1_stn00141.lab,一生为之奋斗,Sentence
speaker00028_M_s1_stn00010.lab,a（啊）,Monophthong
speaker00028_M_s3_stn00033.lab,作为生产体育用品的企业,Sentence
speaker00028_M_s3_stn00080.lab,有关柬埔寨问题,Sentence
speaker00028_M_s1_stn00017.lab,o（哦）,Monophthong
speaker00028_M_s3_stn00017.lab,最初是怎样产生的,Sentence
speaker00028_M_s2_stn00033.lab,窃贼至今仍未被抓拿归案,Sentence
speaker00028_M_s2_stn00094.lab,利用科学的方法进行量化分析和比较得出的,Sentence
speaker00028_M_s2_stn00138.lab,妥善采取宏观调控措施,Sentence
speaker00028_M_s2_stn00045.lab,安哥拉政府代表团与安哥拉最大的反对党,Sentence
speaker00028_M_s3_stn00112.lab,闯过许多环境与科研难关的一种内在动力,Sentence
speaker00028_M_s3_stn00023.lab,为经济建设盐培养更多的优秀人才,Sentence
speaker00028_M_s3_stn00145.lab,所用的一个集成电路卡可储存两本小说,Sentence
speaker00028_M_s3_stn00029.lab,安哥拉局势迅速恶化,Sentence
speaker00028_M_s1_stn00016.lab,a（啊）,Monophthong
speaker00028_M_s1_stn00129.lab,最令人眼花缭乱的,Sentence
speaker00028_M_s2_stn00115.lab,善于用群众的经验引导群众前进,Sentence
speaker00028_M_s3_stn00078.lab,必须抓民主法制建设,Sentence
speaker00028_M_s2_stn00136.lab,截至去年十二月末,Sentence
speaker00028_M_s3_stn00052.lab,通过分配政策和税收调节,Sentence
speaker00028_M_s1_stn00078.lab,艺术中心主办这次音乐周活动,Sentence
speaker00028_M_s2_stn00002.lab,（做吞咽动作）,Swallowing
speaker00028_M_s1_stn00045.lab,款（kuan）,Monosyllables
speaker00028_M_s3_stn00003.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00098.lab,森林资源拥有量达到一点一亿亩,Sentence
speaker00028_M_s1_stn00061.lab,框（kuang）,Monosyllables
speaker00028_M_s2_stn00082.lab,而且连续运行稳定可靠,Sentence
speaker00028_M_s2_stn00025.lab,戒烟后他原先偏高的血压也恢复了正常,Sentence
speaker00028_M_s3_stn00110.lab,打不赢成本战就打不起价格战,Sentence
speaker00028_M_s1_stn00075.lab,德国财政国务秘书科勒尔预计,Sentence
speaker00028_M_s3_stn00139.lab,修庙是纪念他,Sentence
speaker00028_M_s1_stn00023.lab,肯（ken）,Monosyllables
speaker00028_M_s2_stn00054.lab,三是党委必须关心外方管理人员的衣食住行,Sentence
speaker00028_M_s2_stn00088.lab,这是基本出发点,Sentence
speaker00028_M_s2_stn00081.lab,不少企业存在类似问题,Sentence
speaker00028_M_s3_stn00054.lab,收缴了一批淫秽物品,Sentence
speaker00028_M_s2_stn00006.lab,在更远的岸边,Sentence
speaker00028_M_s2_stn00018.lab,进而开行双机牵引一万吨重载列车,Sentence
speaker00028_M_s2_stn00096.lab,至今深深印在我的脑海里,Sentence
speaker00028_M_s1_stn00091.lab,形成群体优势,Sentence
speaker00028_M_s2_stn00091.lab,今年三月俄日外长在莫斯科商定,Sentence
speaker00028_M_s3_stn00114.lab,有的厂因亏损下了马,Sentence
speaker00028_M_s2_stn00029.lab,就这么一环一环地抓,Sentence
speaker00028_M_s2_stn00112.lab,阿兹台克人墨西哥土著人的金字塔,Sentence
speaker00028_M_s2_stn00008.lab,隐藏在祖格迪迪等地,Sentence
speaker00028_M_s1_stn00142.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00036.lab,每天用中草药熬水进行热敷,Sentence
speaker00028_M_s2_stn00128.lab,他欢迎海外企业和公司来莫桑比克投资,Sentence
speaker00028_M_s3_stn00151.lab,松赞干布是藏族历史上杰出的政治家,Sentence
speaker00028_M_s1_stn00104.lab,飞机改飞奥赫里德机场降落,Sentence
speaker00028_M_s1_stn00018.lab,e（鹅）,Monophthong
speaker00028_M_s1_stn00036.lab,来（lai）,Monosyllables
speaker00028_M_s1_stn00102.lab,在江筱茜的病床前,Sentence
speaker00028_M_s3_stn00119.lab,县检察院于十三日接到报案,Sentence
speaker00028_M_s3_stn00036.lab,结果使第三产业等非工业企业热得烫手,Sentence
speaker00028_M_s1_stn00131.lab,必将拖延在波黑实现公正和平的时间,Sentence
speaker00028_M_s3_stn00005.lab,从而也意识到自己的力量,Sentence
speaker00028_M_s3_stn00088.lab,解放思想是实事求是思想路线的体现,Sentence
speaker00028_M_s1_stn00058.lab,夸（kua）,Monosyllables
speaker00028_M_s2_stn00156.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00008.lab,进口许可证和配额,Sentence
speaker00028_M_s3_stn00068.lab,全家老少干得兴致盎然,Sentence
speaker00028_M_s1_stn00027.lab,库（ku）,Monosyllables
speaker00028_M_s3_stn00050.lab,葡萄牙人以斗牛迎接新年的到来,Sentence
speaker00028_M_s2_stn00150.lab,摩托车达五十多万辆,Sentence
speaker00028_M_s3_stn00082.lab,下设七个分公司,Sentence
speaker00028_M_s2_stn00070.lab,此后辽宁队在一人被罚下的情况下仍全力反击,Sentence
speaker00028_M_s2_stn00014.lab,从而违反了美国的贸易法,Sentence
speaker00028_M_s3_stn00113.lab,把这些石头抱住就再不放手了,Sentence
speaker00028_M_s3_stn00001.lab,（做吞咽动作）,Swallowing
speaker00028_M_s2_stn00009.lab,尽管当时战局瞬息万变,Sentence
speaker00028_M_s2_stn00074.lab,一九九二年更是喜事盈门,Sentence
speaker00028_M_s2_stn00027.lab,外长金克尔日前发表讲话,Sentence
speaker00028_M_s2_stn00101.lab,到去年十月止,Sentence
speaker00028_M_s1_stn00051.lab,来（lai）,Monosyllables
speaker00028_M_s2_stn00121.lab,与正常人相比,Sentence
speaker00028_M_s1_stn00096.lab,要求欧共体作出让步,Sentence
speaker00028_M_s2_stn00028.lab,谁能够掌握信息,Sentence
speaker00028_M_s3_stn00076.lab,由于各国超额生产,Sentence
speaker00028_M_s1_stn00013.lab,i（衣）,Monophthong
speaker00028_M_s2_stn00151.lab,难怪施拉普纳休假期间见缝插针,Sentence
speaker00028_M_s1_stn00050.lab,啦（la）,Monosyllables
speaker00028_M_s3_stn00111.lab,我们之所以在西班牙买了地皮,Sentence
speaker00028_M_s1_stn00028.lab,夸（kua）,Monosyllables
speaker00028_M_s3_stn00010.lab,捷克地处欧洲中部,Sentence
speaker00028_M_s3_stn00105.lab,搞好治安预测,Sentence
speaker00028_M_s3_stn00097.lab,洋溢着暖意和温馨,Sentence
speaker00028_M_s2_stn00141.lab,又主持制定了从一九九三年起的四年发展规划,Sentence
speaker00028_M_s3_stn00120.lab,该软件自一九八七年通过专家鉴定以来,Sentence
speaker00028_M_s2_stn00155.lab,（做吞咽动作）,Swallowing
speaker00028_M_s3_stn00045.lab,和平是最可贵的,Sentence
speaker00028_M_s2_stn00153.lab,但并未能遏制频繁的暴力事件,Sentence
speaker00028_M_s2_stn00085.lab,会议围绕戊戌维新与中国改革的中心议题,Sentence
speaker00028_M_s1_stn00103.lab,江主席又问这里河水的含沙量大不大,Sentence
speaker00028_M_s2_stn00066.lab,哈桑二世清真寺一时成为舆论的热点,Sentence
speaker00028_M_s2_stn00019.lab,而且处于昏迷状态,Sentence
speaker00028_M_s2_stn00144.lab,强烈谴责这一恶化波黑局势的行动,Sentence
speaker00028_M_s1_stn00012.lab,e（鹅）,Monophthong
speaker00028_M_s3_stn00100.lab,他将继续奉行俄罗斯改革的方针,Sentence
speaker00028_M_s2_stn00131.lab,在实践中统一思想,Sentence
speaker00028_M_s2_stn00013.lab,水却全部漏入地下,Sentence
speaker00028_M_s2_stn00106.lab,黄寅性总理在谈到韩国外长韩升洲访华时说,Sentence
speaker00028_M_s2_stn00005.lab,学生认为读书要读出个名堂来,Sentence
speaker00028_M_s1_stn00128.lab,约旦一位官方人士今天在这里重申,Sentence
speaker00028_M_s3_stn00059.lab,一千多位华人侨胞出席了宴会,Sentence
speaker00028_M_s2_stn00024.lab,水缸旁的一瓶啤酒突然爆炸,Sentence
speaker00028_M_s1_stn00041.lab,口（kou）,Monosyllables
speaker00028_M_s2_stn00026.lab,潮绣集团去年实现销售额八千五百万元,Sentence
speaker00028_M_s1_stn00112.lab,其他社会主义国家也没有干过,Sentence
speaker00028_M_s2_stn00118.lab,一公斤肉五六美元,Sentence
speaker00028_M_s2_stn00040.lab,以海南大特区为课堂,Sentence
speaker00028_M_s1_stn00072.lab,对有损国有资产的行为有权纠正,Sentence
speaker00028_M_s2_stn00007.lab,与二百零六国道会合,Sentence
speaker00028_M_s2_stn00099.lab,你不是中国最年轻的人,Sentence
speaker00028_M_s2_stn00003.lab,（做吞咽动作）,Swallowing
speaker00028_M_s1_stn00127.lab,财产转让所得,Sentence
speaker00028_M_s1_stn00034.lab,括（kuo）,Monosyllables
speaker00028_M_s3_stn00046.lab,做出错误判断,Sentence
speaker00028_M_s3_stn00135.lab,温老今年九十六岁高龄,Sentence
speaker00028_M_s3_stn00133.lab,成为这一理论的最高范畴,Sentence
speaker00028_M_s2_stn00016.lab,全新的要二千至三千五百美元,Sentence
speaker00028_M_s1_stn00071.lab,宁波的国际集装箱码头建设,Sentence
speaker00028_M_s2_stn00072.lab,俄国政府准备继续与乌方进行建设性对话,Sentence
speaker00028_M_s2_stn00073.lab,是巴黎大区塞纳马恩省省会,Sentence
speaker00028_M_s1_stn00107.lab,关心政治也需要从娃娃抓起,Sentence
speaker00028_M_s1_stn00098.lab,总指挥杜五安说,Sentence
speaker00028_M_s2_stn00130.lab,但更多的则是坚强的昂扬,Sentence
speaker00028_M_s1_stn00029.lab,块（kuai）,Monosyllables
speaker00028_M_s3_stn00026.lab,教师问题的症结何在,Sentence
speaker00028_M_s2_stn00068.lab,能工巧匠成功的研磨应付给一定的报酬,Sentence
speaker00028_M_s2_stn00052.lab,十五比七力克同胞阿迪,Sentence
